id,Age,Gender,Annual Income,Marital Status,Number of Dependents,Education Level,Occupation,Health Score,Location,Policy Type,Previous Claims,Vehicle Age,Credit Score,Insurance Duration,Policy Start Date,Customer Feedback,Smoking Status,Exercise Frequency,Property Type,Premium Amount
927,30,Female,17891,Divorced,1,High School,,28.00649986,Rural,Basic,0,15,821,2,21:39.2,Poor,Yes,Weekly,House,534
928,20,Female,14861,Divorced,0,Master's,Self-Employed,16.63838294,Rural,Comprehensive,1,4,686,4,21:39.1,Good,No,Rarely,Apartment,1493
929,34,Female,29173,Divorced,2,Master's,Unemployed,29.51702829,Urban,Comprehensive,,16,521,8,21:39.2,Average,No,Monthly,House,772
930,20,Female,14058,Married,,PhD,Self-Employed,20.81225524,Urban,Comprehensive,,10,653,6,21:39.2,Poor,Yes,Weekly,Condo,1613
931,42,Female,77933,Single,0,PhD,Unemployed,7.882163802,Suburban,Premium,2,5,,5,21:39.1,Good,No,Weekly,Condo,2578
932,57,Female,21598,Married,3,PhD,Self-Employed,32.8208502,Rural,Premium,1,10,558,9,21:39.2,Good,No,Daily,Condo,2682
933,35,Male,8051,Married,3,PhD,Self-Employed,8.639081301,Urban,Comprehensive,0,19,706,8,21:39.1,Poor,Yes,Weekly,Apartment,663
934,40,Female,3978,Single,0,Bachelor's,Self-Employed,44.97959131,Rural,Premium,0,9,538,1,21:39.1,Good,No,Weekly,Condo,2048
935,62,Male,82546,Single,,PhD,,13.73086536,Rural,Premium,2,14,586,2,21:39.2,Poor,No,Rarely,Condo,2714
936,34,Male,50958,Married,0,PhD,Unemployed,50.13489981,Urban,Comprehensive,1,12,407,7,21:39.1,Average,No,Rarely,House,882
937,41,Female,5871,Married,3,High School,Self-Employed,9.965685627,Urban,Premium,1,2,748,6,21:39.3,Good,No,Rarely,House,1272
938,35,Male,6994,Married,3,Bachelor's,Unemployed,47.91686591,Suburban,Premium,2,9,655,6,21:39.1,Poor,Yes,Daily,Condo,837
939,40,Male,64583,Married,4,High School,Self-Employed,38.80221259,Urban,Comprehensive,,0,301,3,21:39.2,Average,Yes,Weekly,House,1854
940,36,Female,10862,Married,2,PhD,Self-Employed,31.77444615,Suburban,Premium,,0,641,9,21:39.2,Good,Yes,Monthly,House,1761
941,54,Male,34374,Divorced,,Master's,Unemployed,48.44487631,Rural,Premium,1,1,508,4,21:39.1,,Yes,Daily,Condo,3733
942,25,Female,18341,Single,0,High School,Employed,13.14106007,Suburban,Premium,1,9,476,2,21:39.1,Poor,No,Rarely,House,1755
943,62,Male,4541,Divorced,1,High School,Self-Employed,35.9069236,Suburban,Premium,,18,718,3,21:39.3,Good,No,Weekly,House,2768
944,41,Female,6826,Single,4,Bachelor's,Unemployed,50.92925143,Urban,Premium,,15,821,2,21:39.2,Average,No,Rarely,Condo,483
945,53,Female,17676,Single,4,Bachelor's,,50.51944059,Urban,Comprehensive,2,14,491,5,21:39.2,Average,Yes,Rarely,Apartment,522
946,47,Female,72682,Single,,PhD,,33.9679137,Urban,Comprehensive,3,12,507,2,21:39.3,Poor,No,Weekly,House,416
947,52,Male,25495,Divorced,4,Bachelor's,Employed,40.06640325,Urban,Basic,0,11,687,5,21:39.1,Average,No,Monthly,House,1517
948,39,Male,13981,Single,0,Bachelor's,,9.988942289,Suburban,Premium,0,7,784,3,21:39.1,Good,Yes,Daily,Condo,589
949,21,Male,14961,Married,3,Bachelor's,,36.81734112,Rural,Premium,,17,513,9,21:39.1,Average,Yes,Rarely,House,1640
950,38,Male,657,Married,3,PhD,Unemployed,13.55174967,Rural,Basic,1,11,469,3,21:39.2,Good,Yes,Daily,Condo,691
951,62,Male,47761,Married,3,PhD,Self-Employed,43.94746837,Rural,Comprehensive,,6,607,4,21:39.2,Average,Yes,Monthly,Condo,119
952,52,Male,4077,Divorced,1,Bachelor's,Unemployed,30.1666824,Urban,Basic,1,14,513,4,21:39.2,Poor,Yes,Rarely,House,1841
953,21,Female,38612,Married,4,Bachelor's,Employed,23.45132551,Rural,Premium,,1,725,8,21:39.3,Poor,Yes,Monthly,House,2421
954,54,Female,23981,Divorced,1,High School,,20.14056915,Rural,Premium,0,3,,5,21:39.1,Good,Yes,Daily,Apartment,1207
955,53,Male,58847,Divorced,,PhD,,9.534284234,Rural,Comprehensive,,7,492,9,21:39.3,Good,Yes,Weekly,Apartment,2053
956,33,Male,39098,Single,3,High School,Unemployed,22.23882943,Rural,Comprehensive,1,16,807,1,21:39.2,Average,No,Weekly,Condo,669
957,62,Male,32282,Married,2,High School,,11.25555012,Rural,Basic,,7,609,1,21:39.2,Poor,No,Daily,Condo,563
958,48,Female,20982,Married,,PhD,Employed,21.26169969,Urban,Basic,,9,774,7,21:39.2,Average,Yes,Rarely,House,487
959,51,Female,18671,Single,4,High School,Unemployed,22.56893388,Suburban,Premium,0,5,773,2,21:39.1,Good,No,Weekly,Condo,1383
960,55,Female,132925,,3,Bachelor's,Self-Employed,35.50179943,Urban,Comprehensive,3,9,657,4,21:39.2,Poor,No,Weekly,Apartment,705
961,48,Female,1807,Married,4,PhD,Employed,30.35795119,Rural,Comprehensive,0,14,748,5,21:39.2,Good,No,Daily,House,2213
962,26,Male,38791,Single,2,High School,Employed,24.24687714,Suburban,Comprehensive,1,8,546,7,21:39.2,Good,Yes,Daily,House,2057
963,26,Male,20996,Married,,PhD,Self-Employed,32.80349264,Urban,Basic,1,5,625,5,21:39.1,Poor,No,Weekly,Apartment,1848
964,23,Female,66744,Single,1,PhD,Unemployed,52.69276526,Urban,Basic,3,8,824,9,21:39.1,Good,Yes,Weekly,House,643
965,58,Female,27961,Single,,Bachelor's,Self-Employed,30.89070618,Suburban,Basic,,13,810,9,21:39.2,Poor,No,Daily,Condo,1077
966,64,Female,15962,Divorced,1,PhD,,41.57092391,Rural,Comprehensive,1,11,677,2,21:39.1,Good,Yes,Rarely,Apartment,961
967,64,Male,44737,Single,4,Master's,,19.92464442,Suburban,Comprehensive,1,8,706,5,21:39.2,Poor,Yes,Rarely,Apartment,479
968,33,Female,7926,Divorced,4,Master's,Employed,22.75682258,Urban,Comprehensive,,19,494,2,21:39.1,Average,No,Weekly,Apartment,714
969,50,Female,9931,Single,4,Bachelor's,Employed,23.67349989,Urban,Basic,0,8,511,7,21:39.2,Average,Yes,Monthly,Apartment,723
970,28,Male,134587,Married,1,PhD,Unemployed,47.93460499,Urban,Comprehensive,1,14,402,1,21:39.2,Poor,No,Weekly,Apartment,442
971,19,Male,82497,Single,3,PhD,,19.53929761,Rural,Basic,2,4,426,2,21:39.1,Good,No,Daily,House,1647
972,25,Female,108418,Single,4,Master's,Self-Employed,12.60773575,Urban,Basic,2,2,404,8,21:39.3,Average,Yes,Monthly,House,1369
973,49,Female,1698,Single,3,High School,Employed,13.75141887,Rural,Comprehensive,,13,553,7,21:39.2,Good,Yes,Monthly,Apartment,2353
974,23,Female,90884,Divorced,4,PhD,Self-Employed,11.95828908,Urban,Basic,,1,394,3,21:39.3,Poor,No,Daily,House,904
975,32,Female,40552,Single,4,Bachelor's,Employed,17.79366449,Rural,Comprehensive,0,7,473,2,21:39.2,Poor,No,Daily,House,1150
976,51,Male,3858,Single,0,PhD,,47.11650807,Urban,Premium,4,17,736,9,21:39.2,Good,Yes,Rarely,House,1035
977,25,Female,29279,Divorced,4,PhD,Unemployed,9.869596349,Suburban,Basic,2,5,695,3,21:39.2,Good,No,Weekly,Condo,1174
978,33,Male,2445,Single,2,Master's,Employed,22.61221856,Suburban,Basic,2,8,,5,21:39.3,Poor,Yes,Daily,Condo,939
979,33,Male,48750,Divorced,0,High School,,13.97911488,Suburban,Basic,2,7,320,1,21:39.2,Average,Yes,Daily,House,371
980,33,Female,127712,Married,4,PhD,Employed,19.01359261,Rural,Comprehensive,2,0,805,3,21:39.3,Poor,No,Monthly,House,2873
981,42,Male,44704,Single,,PhD,Unemployed,9.160629,Rural,Premium,0,3,519,3,21:39.2,Poor,Yes,Rarely,House,1398
982,56,Male,5907,Divorced,3,PhD,Unemployed,41.71182235,Rural,Comprehensive,,9,663,2,21:39.2,Good,Yes,Rarely,Condo,1618
983,42,Female,32736,Divorced,0,High School,Self-Employed,29.82368265,Urban,Comprehensive,1,9,776,7,21:39.2,Average,No,Rarely,Apartment,902
984,18,Female,20121,Divorced,2,Bachelor's,,7.849131981,Urban,Premium,0,3,356,8,21:39.1,Poor,No,Rarely,Apartment,1008
985,63,Male,113584,Married,0,High School,Employed,19.0682522,Urban,Premium,2,19,410,1,21:39.2,Average,Yes,Weekly,Condo,714
986,60,Female,12110,Single,0,Master's,Employed,44.90880232,Suburban,Comprehensive,,4,336,5,21:39.2,Poor,No,Daily,House,790
987,38,Female,4981,Divorced,4,Master's,Unemployed,36.47012775,Suburban,Premium,0,18,815,1,21:39.2,Good,No,Monthly,House,365
988,23,Female,6545,Divorced,2,Master's,Self-Employed,,Rural,Comprehensive,,15,534,9,21:39.1,Average,No,Weekly,Condo,1461
989,27,Male,17763,Single,,Bachelor's,Unemployed,26.693718,Rural,Premium,0,6,797,8,21:39.2,,No,Daily,Apartment,48
990,60,Male,3846,Single,1,Bachelor's,Employed,49.88426046,Suburban,Premium,1,13,826,1,21:39.1,Good,Yes,Monthly,Condo,2139
991,43,Female,24388,Single,3,PhD,,33.67690333,Rural,Comprehensive,0,16,654,9,21:39.2,Average,Yes,Weekly,House,934
992,57,Male,92580,Single,1,High School,,7.715894442,Rural,Basic,1,16,308,9,21:39.2,,No,Monthly,Apartment,1430
993,58,Male,7876,Single,2,High School,Employed,27.91439132,Rural,Premium,1,14,616,4,21:39.2,Poor,Yes,Daily,Apartment,557
994,35,Male,24299,Single,0,Bachelor's,Employed,32.74497266,Rural,Basic,0,12,768,6,21:39.2,Good,No,Weekly,House,1049
995,42,Male,45638,Single,2,PhD,Employed,50.86530715,Urban,Premium,,12,776,1,21:39.1,Good,No,Rarely,Apartment,1806
996,64,Female,14094,Married,1,High School,Employed,29.35173879,Urban,Comprehensive,2,16,818,4,21:39.2,Average,Yes,Rarely,House,1116
997,,Female,80198,Divorced,1,Bachelor's,Self-Employed,29.35942684,Suburban,Basic,2,4,775,4,21:39.2,Good,Yes,Rarely,Apartment,3381
998,25,Male,16981,Divorced,1,High School,Self-Employed,32.89694098,Suburban,Comprehensive,0,5,673,7,21:39.1,Poor,Yes,Rarely,Condo,718
999,55,Female,28396,Divorced,2,Master's,Self-Employed,33.9130161,Suburban,Basic,1,8,767,1,21:39.1,Good,Yes,Rarely,House,1012
1000,37,Female,30881,Married,0,PhD,,,Suburban,Premium,2,5,751,4,21:39.1,Good,Yes,Monthly,Condo,890
1001,31,Female,38335,Divorced,0,Master's,Unemployed,30.59093759,Suburban,Basic,1,13,337,2,21:39.2,Good,No,Daily,House,25
1002,56,Female,20535,Married,1,Bachelor's,Self-Employed,11.81223562,Urban,Premium,,16,619,3,21:39.2,Poor,No,Monthly,House,1706
1003,27,Female,10912,Married,3,PhD,Employed,30.85216205,Suburban,Comprehensive,,1,513,1,21:39.1,Poor,No,Weekly,House,198
1004,25,Male,1724,Divorced,2,Bachelor's,,24.07669587,Rural,Basic,,12,451,9,21:39.3,Poor,No,Rarely,Condo,567
1005,54,Female,86851,Married,3,Master's,Self-Employed,16.05354585,Rural,Comprehensive,,14,829,7,21:39.1,,Yes,Rarely,Condo,3373
1006,48,Male,944,Single,0,PhD,Employed,50.87622988,Rural,Basic,0,18,716,6,21:39.1,Average,No,Monthly,Condo,788
1007,20,Female,12084,Divorced,2,High School,,37.25358228,Rural,Premium,0,16,678,4,21:39.2,Good,No,Daily,Apartment,1499
1008,46,Female,59918,Divorced,0,Master's,Self-Employed,14.22181785,Urban,Premium,1,17,621,7,21:39.1,Good,No,Weekly,Condo,379
1009,23,Male,81818,Married,3,High School,Employed,46.96678758,Urban,Comprehensive,2,0,462,8,21:39.2,Average,No,Monthly,Apartment,139
1010,32,Male,27917,Divorced,4,Master's,Self-Employed,11.40399028,Rural,Premium,4,15,479,4,21:39.2,Good,No,Monthly,Apartment,843
1011,60,Male,6938,Divorced,0,High School,,37.9899504,Suburban,Premium,1,2,401,4,21:39.1,Poor,Yes,Daily,Condo,931
1012,33,Female,825,Divorced,4,PhD,Unemployed,19.89860217,Urban,Basic,1,18,672,9,21:39.2,Good,Yes,Rarely,Apartment,3166
1013,63,Male,464,Single,3,PhD,Unemployed,28.06579017,Suburban,Premium,,10,796,9,21:39.1,Poor,Yes,Daily,House,226
1014,23,Female,59920,Divorced,4,Master's,Self-Employed,31.92381054,Urban,Premium,2,9,775,6,21:39.1,Good,Yes,Daily,Apartment,3111
1015,53,Female,30450,Single,4,PhD,Employed,43.83825891,Rural,Premium,1,3,483,7,21:39.2,Average,Yes,Weekly,Apartment,2674
1016,24,Female,8841,Single,2,High School,Employed,29.93855523,Suburban,Premium,1,0,462,8,21:39.1,Poor,No,Weekly,Condo,556
1017,62,Male,26897,Single,3,Bachelor's,Employed,25.82360287,Suburban,Basic,0,0,828,4,21:39.2,Average,No,Weekly,House,925
1018,40,Male,72432,Married,2,High School,Self-Employed,16.41081692,Suburban,Premium,1,3,763,2,21:39.1,Good,No,Daily,House,180
1019,57,Female,7092,Divorced,0,Bachelor's,Self-Employed,10.90721433,Rural,Comprehensive,0,7,806,5,21:39.1,Average,Yes,Monthly,House,173
1020,33,Male,37163,Divorced,4,High School,Self-Employed,8.144570257,Urban,Premium,3,10,493,7,21:39.1,,No,Weekly,Apartment,1686
1021,36,Male,11051,Single,1,High School,Self-Employed,11.9350027,Suburban,Comprehensive,,10,621,8,21:39.1,Average,Yes,Weekly,Apartment,2822
1022,47,Male,35725,Married,4,PhD,,31.14708941,Urban,Basic,2,14,672,7,21:39.3,Poor,Yes,Rarely,House,673
1023,46,Female,51630,Married,4,PhD,Employed,25.14130398,Rural,Comprehensive,,7,,7,21:39.1,Poor,Yes,Daily,Apartment,113
1024,18,Female,3547,Married,0,Master's,,18.7176401,Urban,Comprehensive,0,15,649,7,21:39.3,,Yes,Monthly,Apartment,1764
1025,19,Male,8096,Divorced,3,High School,Employed,15.75388056,Rural,Basic,,14,456,1,21:39.2,Average,No,Daily,Apartment,573
1026,41,Male,722,,2,Master's,Employed,32.87958044,Urban,Basic,1,4,647,9,21:39.2,Good,No,Weekly,House,167
1027,36,Female,53920,Divorced,3,PhD,Self-Employed,23.9288733,Suburban,Basic,1,10,487,2,21:39.2,,Yes,Weekly,Condo,2147
1028,49,Male,46781,Divorced,1,PhD,Self-Employed,14.95725099,Urban,Premium,0,2,332,8,21:39.2,Poor,Yes,Rarely,Condo,709
1029,31,Female,23084,Single,1,Bachelor's,Employed,17.57255163,Urban,Premium,1,3,466,5,21:39.1,Good,Yes,Weekly,Apartment,1812
1030,20,Female,13603,Single,2,Bachelor's,Unemployed,41.14478496,Suburban,Comprehensive,0,10,712,7,21:39.1,Good,No,Rarely,House,1018
1031,52,Female,38695,Single,4,Bachelor's,,32.69195415,Urban,Premium,,14,627,9,21:39.2,Average,Yes,Daily,House,1310
1032,35,Male,16091,Married,0,PhD,Self-Employed,,Urban,Premium,0,9,,4,21:39.1,Average,Yes,Weekly,Condo,1377
1033,47,Male,44956,Married,,Master's,Employed,21.41793722,Rural,Comprehensive,2,10,521,9,21:39.3,Poor,Yes,Monthly,Apartment,496
1034,46,Female,16123,Divorced,3,Bachelor's,Employed,,Urban,Premium,2,1,835,1,21:39.3,Poor,No,Daily,Condo,1642
1035,23,Male,10881,Married,1,Master's,Self-Employed,4.619292701,Suburban,Comprehensive,1,19,,4,21:39.1,Poor,No,Daily,Apartment,604
1036,19,Male,43935,Married,3,PhD,,21.83413657,Urban,Comprehensive,1,11,571,6,21:39.3,Poor,Yes,Weekly,Condo,29
1037,56,Male,40981,Divorced,2,PhD,Unemployed,21.09827157,Urban,Basic,2,17,439,1,21:39.2,Good,Yes,Monthly,Condo,1253
1038,29,Female,86680,Married,2,Bachelor's,Employed,,Urban,Premium,0,17,,9,21:39.1,Good,No,Weekly,Apartment,382
1039,47,Male,100199,Divorced,2,Bachelor's,Employed,44.08755669,Urban,Basic,0,18,688,4,21:39.2,Good,No,Weekly,Condo,128
1040,20,Male,7081,Divorced,2,High School,Employed,30.56738215,Suburban,Basic,0,13,,2,21:39.2,Average,Yes,Daily,House,710
1041,24,Male,45487,Divorced,2,Bachelor's,Unemployed,7.924251829,Urban,Premium,1,2,572,7,21:39.1,Poor,No,Monthly,House,1602
1042,37,Female,,Divorced,0,Master's,,29.89085286,Rural,Basic,3,3,832,1,21:39.2,Good,Yes,Weekly,Condo,2224
1043,49,Female,13982,Divorced,1,Master's,Unemployed,20.63645753,Urban,Comprehensive,0,11,816,1,21:39.2,Average,Yes,Weekly,Condo,1465
1044,43,Female,26685,Divorced,1,High School,Unemployed,15.96577916,Rural,Premium,1,11,442,3,21:39.1,Poor,No,Daily,Condo,226
1045,30,Female,1823,Married,3,High School,Self-Employed,14.61252086,Urban,Premium,1,15,758,2,21:39.1,,No,Weekly,Apartment,1085
1046,58,Female,25389,Divorced,0,PhD,,50.53485646,Rural,Comprehensive,1,12,849,1,21:39.1,,No,Weekly,House,860
1047,43,Female,32064,Single,,Master's,Employed,24.89648814,Urban,Basic,1,5,677,1,21:39.2,Good,No,Daily,House,2288
1048,56,Male,2586,,4,Master's,Unemployed,42.25985595,Suburban,Comprehensive,,17,552,8,21:39.2,Good,No,Rarely,House,1311
1049,49,Male,18408,Married,0,PhD,,,Rural,Comprehensive,,19,638,2,21:39.1,Poor,No,Rarely,House,832
1050,60,Female,28962,Single,,Bachelor's,Unemployed,5.057593082,Suburban,Premium,,15,528,3,21:39.2,Average,Yes,Monthly,Apartment,1298
1051,55,Female,132049,Single,0,PhD,Employed,10.27386864,Suburban,Basic,2,3,506,1,21:39.3,Poor,Yes,Rarely,House,2931
1052,40,Male,1075,Divorced,3,High School,Self-Employed,30.05424773,Urban,Basic,1,11,818,4,21:39.3,Good,Yes,Daily,Apartment,2114
1053,28,Male,29056,Divorced,1,Bachelor's,Employed,,Suburban,Comprehensive,1,3,716,7,21:39.2,Poor,No,Rarely,House,632
1054,52,Male,91958,Single,2,Bachelor's,Unemployed,37.82887387,Rural,Comprehensive,1,0,405,8,21:39.2,Average,Yes,Weekly,House,776
1055,39,Male,17982,Divorced,3,Master's,,36.95754625,Suburban,Comprehensive,0,18,749,1,21:39.2,Poor,No,Monthly,Apartment,582
1056,53,Female,45434,Married,,Bachelor's,Unemployed,24.61116131,Suburban,Premium,1,12,404,5,21:39.2,Average,No,Monthly,House,613
1057,23,Male,33010,Divorced,1,Bachelor's,,14.84724723,Urban,Basic,1,6,627,7,21:39.2,Average,Yes,Weekly,Apartment,1126
1058,59,Male,61220,Divorced,2,PhD,Employed,27.01083302,Suburban,Basic,0,2,452,2,21:39.2,Average,Yes,Daily,House,1142
1059,45,Female,20861,Divorced,4,Bachelor's,Employed,,Suburban,Basic,,11,775,3,21:39.2,Average,Yes,Daily,Condo,1098
1060,51,Male,82751,Divorced,2,PhD,Unemployed,24.58889428,Urban,Comprehensive,,18,438,7,21:39.2,Good,No,Rarely,Condo,2370
1061,40,Female,523,Married,2,Master's,,,Suburban,Basic,2,13,643,7,21:39.2,Good,Yes,Daily,Condo,823
1062,36,Male,186,Single,2,Master's,Unemployed,30.08916373,Urban,Premium,0,14,467,8,21:39.2,Good,No,Weekly,Condo,1151
1063,49,Male,43820,Single,2,Master's,Unemployed,46.06489724,Suburban,Premium,0,19,549,9,21:39.1,,Yes,Monthly,Apartment,462
1064,56,Female,10551,Single,4,Bachelor's,Unemployed,31.54054932,Rural,Comprehensive,1,18,632,1,21:39.1,Good,No,Monthly,House,1629
1065,64,Female,12881,Married,,PhD,Unemployed,36.89906073,Urban,Premium,0,11,626,6,21:39.1,Poor,No,Weekly,Apartment,1034
1066,58,Female,29892,,3,Master's,Unemployed,13.28789748,Rural,Premium,,3,593,2,21:39.2,Poor,Yes,Weekly,House,944
1067,35,Female,51165,Divorced,4,High School,Unemployed,11.81355603,Suburban,Premium,1,9,,5,21:39.3,Poor,No,Rarely,House,298
1068,49,Female,4326,Divorced,0,Bachelor's,,8.12752433,Rural,Premium,1,11,731,9,21:39.1,Average,No,Monthly,Condo,1230
1069,50,Male,113317,Single,4,Master's,Self-Employed,30.37479835,Rural,Premium,1,19,372,6,21:39.1,Average,No,Monthly,Apartment,832
1070,59,Female,29350,Divorced,1,Master's,Unemployed,14.64091701,Urban,Comprehensive,,16,454,7,21:39.3,Good,No,Rarely,Condo,437
1071,35,Female,43949,Married,4,Master's,Self-Employed,17.95966029,Rural,Premium,1,8,,6,21:39.1,Poor,No,Monthly,Apartment,933
1072,64,Female,49361,Married,3,High School,Self-Employed,25.03765104,Rural,Comprehensive,0,9,410,2,21:39.2,Good,No,Daily,Condo,2975
1073,43,Female,10821,Married,3,Bachelor's,Employed,50.9596903,Rural,Basic,0,4,788,7,21:39.2,Poor,No,Rarely,Condo,541
1074,46,Female,17285,Single,2,Bachelor's,Employed,28.56600324,Urban,Basic,,16,710,9,21:39.2,Poor,No,Weekly,House,1032
1075,38,Male,24226,Married,1,Bachelor's,Self-Employed,34.6384464,Urban,Basic,2,3,596,8,21:39.2,Poor,Yes,Weekly,Apartment,1784
1076,52,Male,26904,Single,2,High School,,33.81298738,Urban,Basic,,9,,9,21:39.1,Poor,Yes,Weekly,Apartment,627
1077,36,Female,,Divorced,4,Master's,Employed,,Urban,Basic,1,4,310,4,21:39.2,Poor,Yes,Daily,Apartment,2513
1078,35,Male,3852,Single,4,Master's,Self-Employed,38.0817967,Suburban,Premium,0,6,482,5,21:39.3,,Yes,Daily,Condo,2840
1079,43,Male,2695,Married,2,Bachelor's,,,Urban,Comprehensive,0,9,761,9,21:39.2,,Yes,Monthly,Apartment,1168
1080,57,Female,37389,Married,3,Bachelor's,Self-Employed,38.93749393,Suburban,Premium,1,17,583,4,21:39.2,Poor,No,Monthly,House,846
1081,32,Male,6939,Married,3,Bachelor's,Employed,19.92464448,Urban,Comprehensive,1,14,746,9,21:39.1,Poor,No,Weekly,House,1625
1082,54,Male,13271,Married,,PhD,Unemployed,13.40335999,Urban,Basic,,6,786,7,21:39.2,Poor,No,Rarely,Apartment,3271
1083,48,Male,50477,Single,0,High School,Employed,14.24644426,Rural,Comprehensive,0,11,318,7,21:39.2,Poor,No,Rarely,Apartment,1132
1084,44,Male,103959,Married,2,Bachelor's,Employed,25.55143447,Suburban,Premium,1,0,772,9,21:39.2,Average,Yes,Weekly,Condo,57
1085,18,Female,2498,Married,,Master's,,17.82913582,Urban,Basic,2,10,,1,21:39.3,Good,Yes,Daily,Apartment,1211
1086,53,Male,114226,Married,,PhD,Employed,34.85437154,Urban,Basic,,8,397,8,21:39.1,Average,No,Weekly,House,76
1087,41,Female,16073,Married,3,PhD,Employed,46.09905601,Rural,Basic,,18,626,9,21:39.1,Average,No,Daily,Apartment,1168
1088,23,Male,52357,Divorced,1,Master's,Employed,23.5836651,Rural,Basic,,0,476,7,21:39.2,Poor,Yes,Monthly,Condo,27
1089,30,Male,73481,Married,4,Master's,,,Urban,Premium,,6,684,3,21:39.2,Good,No,Monthly,House,39
1090,47,Male,7073,Single,0,Master's,,,Urban,Premium,0,16,632,4,21:39.1,Poor,No,Daily,Apartment,933
1091,42,Female,35067,Divorced,,Bachelor's,Self-Employed,26.73363594,Rural,Comprehensive,3,3,,6,21:39.1,Average,Yes,Daily,House,400
1092,47,Female,44100,Divorced,3,High School,Employed,23.3918095,Urban,Basic,0,4,476,1,21:39.2,Average,Yes,Monthly,House,934
1093,28,Male,35910,Divorced,1,Master's,Self-Employed,23.39000229,Rural,Basic,,5,732,2,21:39.2,Good,No,Daily,House,537
1094,38,Female,16284,Divorced,4,High School,Employed,15.68971377,Rural,Basic,0,19,756,2,21:39.2,Average,No,Daily,House,2221
1095,18,Female,45900,Divorced,2,Bachelor's,Self-Employed,44.45269824,Urban,Comprehensive,,4,787,9,21:39.2,Poor,Yes,Rarely,Apartment,1328
1096,61,Male,35330,Divorced,3,Bachelor's,Self-Employed,27.39894414,Rural,Basic,3,8,672,3,21:39.2,Average,Yes,Monthly,House,479
1097,49,Male,469,Married,,Bachelor's,Employed,5.331066297,Suburban,Basic,,16,791,9,21:39.3,Poor,Yes,Rarely,House,198
1098,26,Male,45252,Divorced,4,Master's,Employed,34.3738696,Suburban,Premium,1,10,515,9,21:39.2,Poor,No,Rarely,Condo,659
1099,55,Female,35318,Single,3,PhD,,27.95745179,Suburban,Comprehensive,2,15,839,9,21:39.2,Poor,No,Monthly,Condo,1729
1100,23,Male,54967,Single,4,Master's,Unemployed,37.72394313,Suburban,Basic,,10,800,6,21:39.2,Poor,Yes,Rarely,Condo,420
1101,29,Female,51468,Married,,High School,Self-Employed,23.07918318,Rural,Comprehensive,,1,603,5,21:39.2,Good,No,Daily,House,119
1102,60,Male,9054,Divorced,,High School,Employed,32.56701463,Rural,Comprehensive,0,17,728,4,21:39.1,Poor,Yes,Daily,Apartment,1618
1103,25,Female,25168,Divorced,4,Bachelor's,Unemployed,31.51785864,Rural,Premium,,11,731,2,21:39.3,Good,Yes,Rarely,Condo,533
1104,43,Male,2482,Married,2,High School,,22.73567286,Rural,Premium,0,7,496,5,21:39.2,Average,No,Weekly,House,686
1105,25,Female,43927,Single,,PhD,,,Urban,Premium,1,3,685,2,21:39.1,Average,No,Monthly,Condo,652
1106,39,Female,34298,Single,0,High School,Self-Employed,21.96735832,Suburban,Basic,2,6,597,1,21:39.1,Average,Yes,Daily,Condo,961
1107,47,Female,33299,Single,4,Master's,Unemployed,41.73511614,Suburban,Basic,0,11,535,7,21:39.3,Good,No,Weekly,House,2044
1108,57,Female,43471,Single,,PhD,Unemployed,20.24481045,Suburban,Comprehensive,,15,444,2,21:39.2,Poor,Yes,Rarely,Condo,838
1109,,Female,38689,Married,,Master's,Unemployed,14.5347065,Suburban,Premium,0,14,493,1,21:39.1,Good,Yes,Rarely,House,669
1110,30,Female,35153,Single,3,Master's,,22.38333586,Urban,Basic,,3,537,5,21:39.3,Good,No,Daily,House,588
1111,59,Male,23155,Single,0,PhD,,35.47308466,Suburban,Comprehensive,1,6,,6,21:39.2,Good,Yes,Daily,Condo,847
1112,58,Male,29137,Married,4,High School,Unemployed,21.55188009,Rural,Basic,,1,685,5,21:39.2,Poor,Yes,Monthly,Apartment,1213
1113,22,Female,3795,Married,4,PhD,Unemployed,12.91445973,Suburban,Comprehensive,1,12,579,8,21:39.2,,Yes,Weekly,House,1582
1114,43,Female,80175,Divorced,1,High School,Employed,4.816793003,Rural,Basic,2,2,388,5,21:39.1,Good,Yes,Daily,Apartment,1219
1115,50,Female,17553,Married,4,Bachelor's,Self-Employed,24.63053584,Rural,Basic,,19,793,6,21:39.2,,No,Daily,Apartment,1521
1116,24,Male,8386,Married,4,High School,,4.553239854,Rural,Comprehensive,1,13,671,1,21:39.3,Average,Yes,Rarely,House,448
1117,34,Female,4026,Married,2,High School,Unemployed,20.73539423,Rural,Basic,1,19,705,4,21:39.2,Good,No,Rarely,House,190
1118,18,Female,6846,Married,1,Master's,,27.31376894,Rural,Premium,0,1,438,5,21:39.1,Poor,No,Rarely,Apartment,534
1119,35,Female,17079,Married,3,PhD,Employed,43.27779155,Rural,Comprehensive,1,1,801,9,21:39.2,Average,Yes,Weekly,Apartment,2728
1120,39,Female,35123,Divorced,1,High School,,25.07469846,Urban,Comprehensive,,1,,1,21:39.1,Poor,No,Daily,Apartment,722
1121,33,Female,24331,Divorced,,Master's,Self-Employed,36.81640315,Urban,Basic,1,18,,8,21:39.1,Average,Yes,Daily,Condo,182
1122,54,Male,6095,Single,4,PhD,,26.93724598,Suburban,Premium,,8,739,8,21:39.2,Good,Yes,Weekly,Apartment,1858
